Symbol,Open,High,Low,Close,Beta,52Low,52High,Market Cap,Volume,Shares,Sector,Industry
AXP,151.03,151.25,147.4,152.21,1.199,130.65,182.15,"110,602 M","3,997,870","743,240,707",Financials,Consumer Finance
BAC,27.58,27.8101,26.8328,27.86,1.399,26.39,38.6,"215,087 M","82,173,808","7,969,152,819",Financials,Banks
BLK,638.55,638.55,628.2301,642.41,1.293,503.1236,785.65,"94,689 M","589,364","149,904,546",Financials,Capital Markets
C,45.04,45.4,44.08,45.67,1.601,40.005,54.56,"87,396 M","20,601,824","1,946,464,604",Financials,Banks
CB,197.27,197.615,194.33,197.78,0.6722,173.78,231.37,"80,959 M","1,346,002","414,174,489",Financials,Insurance
CINF,103.75,104.94,102.17,104.44,0.6377,88.66,130.66,"16,352 M","539,861","157,212,708",Financials,Insurance
CMA,34.085,34.97,28.4,35.58,1.285,29.17,87.02,"4,109 M","17,888,209","131,669,861",Financials,Banks
GS,325.95,326.98,318.56,328.65,1.41,277.84,389.5781,"107,235 M","2,965,114","333,794,818",Financials,Capital Markets
HIG,68.74,69.025,67.05,69.34,0.8841,60.165,79.44,"21,164 M","2,303,307","310,234,724",Financials,Insurance
ICE,104.5,107.49,104.26,104.83,0.9287,88.6,113.07,"59,748 M","3,122,185","559,704,868",Financials,Capital Markets
JPM,134.96,135.72,131.81,135.98,1.11,101.28,145,"391,939 M","17,089,164","2,922,300,000",Financials,Banks
L,58.2,58.5,57.55,58.42,0.848,49.36,66.34,"13,236 M","668,629","227,898,186",Financials,Insurance
LNC,20.06,20.18,18.735,20.49,1.787,19.74,59.16,"3,281 M","7,121,176","169,537,759",Financials,Insurance
MCO,299.38,301.35,296.45,300.23,1.291,230.16,335.91,"54,986 M","947,171","183,500,000",Financials,Capital Markets
MET,58.06,58.14,53.185,58.71,1.075,52.83,77.36,"41,621 M","12,380,273","769,200,000",Financials,Insurance
MMC,177.87,178.22,176.26,177.88,0.9261,143.33,181.44,"87,724 M","1,427,932","494,721,334",Financials,Insurance
MS,84.17,84.45,81.61,84.75,1.335,72.05,100.99,"137,968 M","10,359,176","1,670,113,691",Financials,Capital Markets
MSCI,464.19,467.92,461.155,465.77,1.11,376.41,572.5,"36,953 M","453,172","80,063,402",Financials,Capital Markets
MTB,112.38,115.44,109.36,114.81,0.8262,110,193.42,"19,103 M","4,063,224","168,044,078",Financials,Banks
PFG,69.11,69.37,66.79,70.07,1.3,61.05,96.17,"16,822 M","1,986,829","242,774,745",Financials,Insurance
PGR,124.17,126.72,122.72,125.05,0.4871,106.95,149.84,"73,815 M","4,909,944","585,366,448",Financials,Insurance
PNC,113.38,115.61,111.84,116.65,1.119,116.52,176.47,"45,355 M","6,975,881","399,108,019",Financials,Banks
PRU,80.55,80.95,77.22,81.36,1.427,75.37,110.96,"28,946 M","3,343,694","365,900,000",Financials,Insurance
SCHW,47.18,47.6,45.65,48.03,0.8724,45,86.63,"86,152 M","26,316,221","1,818,711,524",Financials,Capital Markets
STT,68.05,68.32,66.38,68.92,1.602,58.615,94.735,"22,349 M","2,948,339","334,258,843",Financials,Capital Markets
SYF,27.36,27.6,26.59,27.71,1.64,27.145,40.885,"11,469 M","6,983,238","428,570,576",Financials,Consumer Finance
TROW,105.76,105.87,103.38,105.76,1.341,93.53,134.64,"23,731 M","1,526,219","224,571,987",Financials,Capital Markets
