Symbol,Open,High,Low,Close,Adj Close,Volume,52High,52Low
HOMB,17,17.12,16.53,,,"747,443",21.0398,9.71
HOME,8.27,8.91,7.8101,,,"4,250,895",10.55,1.2
HONE,8.87,8.88,8.06,,,"349,850",11.2,6.45
HOOK,11.56,12.23,11.55,,,"181,739",14.3662,5.8
HOPE,8.74,8.765,8.39,,,"1,329,918",15.51,7.06
HPR,0.3953,0.4491,0.3831,,,"9,206,762",1.98,0.155
HQY,56.03,56.83,55.275,,,"682,133",88.78,34.4
HR,29.02,29.29,28.6,,,"993,853",37.97,24.1
HRI,37.29,37.775,35.5001,,,"481,641",50.81,11.8106
HRTG,11.92,12.3,11.84,,,"150,731",15.61,7.5
HRTX,16.75,17.43,16.7,,,"666,073",26.81,9.6
HSC,15.42,15.45,14.88,,,"778,628",26.21,4.19
HSII,21.39,21.53,21.09,,,"69,591",33.21,17.99
HSKA,99.66,100.3144,98.5,,,"39,713",110.9,50
HSTM,21.93,22.225,21.54,,,"109,666",29.78,20.03
HT,5.08,5.12,4.92,,,"631,802",17.01,2.29
HTBI,14.35,14.41,14.01,,,"30,527",27.79,11.75
HTBK,7.07,7.15,6.89,,,"351,133",13.14,6.04
HTH,18.74,18.9,18.1,,,"347,518",26.28,11.05
HTLD,20.45,20.52,19.91,,,"980,054",22.75,15.65
HTLF,31.475,31.81,30.57,,,"96,500",51.85,25.256
HTZ,1.67,1.82,1.6,,,"15,156,616",20.85,0.4
HUBG,51.66,52.24,51.04,,,"253,371",60.415,36.51
HUD,4.42,4.62,4.33,,,"370,028",15.87,2.26
HURC,28.01,28.65,28.01,,,"7,881",39.38,20.39
HURN,44.24,44.86,42.68,,,"144,998",70.91,35.15
HVT,14.01,14.14,13.905,,,"187,884",21.43,9.81
HWBK,17.66,18.18,17.66,,,"2,598",25.548077,12.932692
HWC,19.72,20.17,18.865,,,"813,080",44.42,14.32
HWKN,47.69,48.13,47.12,,,"47,510",48.15,26.82
HY,38.25,38.32,37.07,,,"42,154",65.405,30.25
HZO,28.45,30.45,27.455,,,"1,034,043",28,7.245
IBCP,13.43,13.61,13.26,,,"134,240",23.93,9.19
IBOC,31.64,31.92,30.98,,,"114,124",44,15.6
IBP,79.46,83.41,78.54,,,"246,643",82.54,29.0201
IBTX,42.61,42.96,41.17,,,"376,969",63.16,20.35
ICD,4.02,4.15,3.89,,,"334,628",37.8,1.08
ICFI,65.39,66.01,64.98,,,"47,937",95.24,47.7514
ICHR,30.19,30.39,28.92,,,"352,370",39.83,13.68
ICPT,45.5,46.2,45.04,,,"778,567",125,42.19
IDCC,59.36,60.06,58.98,,,"125,694",66.57,31.04
IDEX,1.3,1.36,1.3,,,"7,021,614",3.98,0.276
IDT,6.5,6.69,6.4701,,,"69,199",11.84,4.81
IESC,24.28,24.6282,24.21,,,"22,396",27.78,13.7297
IHC,32.89,32.89,32.2,,,"1,853",43.6,22
III,2.03,2.08,2.01,,,"52,561",3.7633,1.6086
IIIN,19.905,20.08,19.54,,,"92,469",26.61,10
IIIV,27.44,28.3,27.01,,,"71,946",37.8525,13.01
IIN,11.98,12.3,11.85,,,"33,047",22.47,9.84
IIPR,97.5,99.643,95,,,"445,702",115.82,40.21
IIVI,46.17,46.98,45.4176,,,"1,568,838",51.9,19
ILPT,20.85,21.11,20.59,,,"330,761",24.18,12.95
IMAX,12.84,12.97,12.44,,,"738,840",22.88,6.01
IMGN,4.41,4.61,4.39,,,"1,713,616",7.07,1.95
IMKTA,40.94,41.35,40.37,,,"98,397",49.1443,30.24
IMMR,6.195,6.6,6.19,,,"369,445",8.66,4.231
IMMU,42.24,44.11,41.9201,,,"1,217,904",44.48,8.8
IMXI,13.65,13.93,13.51,,,"51,480",16.1,6.46
INBK,14.92,15.47,14.57,,,"138,194",28.5,10.47
INDB,67.58,67.96,65.82,,,"113,572",87.11,50.45
INFN,7.8,7.84,7.51,,,"4,235,591",8.35,3.45
INGN,32.98,34.085,32.12,,,"504,015",76.89,31.21
INN,5.47,5.54,5.34,,,"656,800",12.59,2.32
INO,24.58,26.23,24.15,,,"15,118,531",33.79,1.915
INOV,21.64,22.75,20.71,,,"1,156,940",22.99,13.39
INS,31.85,32.54,31.71,,,"29,147",56.24,23.26
INSE,3.42,3.54,3.39,,,"107,580",8.65,1.87
INSG,11.12,11.395,10.85,,,"2,710,444",15.15,3.61
INSM,26.09,26.855,25.91,,,"534,744",34.94,12.09
INSP,101.18,105.535,100.73,,,"224,773",103.06,40.53
INSW,17.12,17.53,16.45,,,"190,284",31.39,14.89
INT,23.83,24.07,23.4,,,"498,907",44.37,20.04
INVA,13.57,13.925,13.515,,,"414,837",15.62,7.58
INWK,2.78,2.82,2.74,,,"1,068,034",5.81,0.87
IOSP,79.57,80.22,78.48,,,"75,591",107.845,56.71
IOVA,27.75,29.26,27.5,,,"1,250,608",41.49,17.67
IPAR,44.23,44.96,42.15,,,"150,656",81.4,34.2
IPHI,122.36,126.49,120.3126,,,"600,519",133.4721,55.72
IPI,0.93,0.97,0.9065,,,"768,174",3.87,0.6
IRBT,74.06,79.42,73.61,,,"1,720,624",89.26,32.79
IRDM,26.7,26.75,25.95,,,"616,902",32.08,16.87
IRET,71.44,72.88,70.13,,,"55,899",85.24,43.58
IRMD,23.75,24.26,23.645,,,"31,297",28.43,14.415
IRT,11,11.31,10.795,,,"461,312",16.85,6.8601
IRTC,123.59,125.99,117.72,,,"365,394",136.55,56.24
IRWD,9.8,10.02,9.72,,,"1,910,600",14.1,7.91
ISBC,8.54,8.55,8.3,,,"1,634,316",12.74,6.31
ISTR,13.6,13.8,13.57,,,"4,164",26.46,8.49
ITCI,21.36,22.055,21.24,,,"561,068",43.56,6.75
ITGR,71.6,72.58,70.83,,,"122,057",99.95,46.01
ITI,4.585,4.68,4.51,,,"170,332",6.69,2.08
ITIC,124.5,127,123.51,,,"2,147",182.5171,96.45
ITRI,69.75,70.49,68.7803,,,"207,698",88.32,40.48
IVC,7.19,7.53,6.95,,,"208,669",11.63,3.9
IVR,3.43,3.49,3.3498,,,"5,188,860",18.3,1.8201
JACK,77.51,79.14,76.4369,,,"314,407",93.12,16.81
JAX,3.94,4.03,3.89,,,"48,421",12.01,3.03
JBSS,87.59,88.17,87.34,,,"43,272",107.86,66.35
JBT,91.81,92.4956,87.17,,,"182,133",127.97,56.17
JCAP,13.99,14.15,13.77,,,"94,446",20.93,8.83
JCOM,55.76,56.58,55.33,,,"638,332",104.57,54.46
JELD,18.96,19.25,18.6001,,,"672,640",26.995,6.06
JILL,0.6598,0.8033,0.6503,,,"3,725,333",2.58,0.31
JJSF,130.47,131.34,128.68,,,"84,465",196.84,105.67
JNCE,5.07,5.25,4.99,,,"131,554",10,2.79
JOE,19.93,20.1399,19.61,,,"193,864",23.38,15.3241
JOUT,89.67,93.59,88.58,,,"22,732",94.9,48.76
JRVR,47.91,48.04,46.96,,,"224,058",52.18,25.34
JYNT,14.195,14.64,13.67,,,"97,823",21.75,7.67
KAI,119.34,119.51,116.51,,,"27,669",120.6628,52.7117
KALA,10.255,10.995,10.1716,,,"733,545",14.68,3.24
KALU,67.89,72.1,67.28,,,"262,148",117.06,54.54
KALV,12.54,13.12,12.42,,,"75,107",18.9599,5.605
KAMN,41.68,42.33,41.02,,,"112,577",68.24,29.375
KBAL,11.24,11.26,10.93,,,"105,159",22.4,8.19
KBH,33.09,34.74,32.445,,,"2,016,957",40.51,9.82
KBR,22.46,22.86,22.395,,,"1,418,790",31.92,12
KDMN,3.85,4.02,3.832,,,"2,420,220",5.5,2.04
KE,13.51,13.8056,13.18,,,"51,950",18.49,9.78
KELYA,15.58,15.8,15.24,,,"170,138",28.91,10.13
KFRC,28.68,29.11,27.93,,,"192,183",42.6399,20.6
KFY,30.14,30.77,29.98,,,"590,512",43.99,21.45
KIDS,41.71,42.345,40.74,,,"130,076",51.48,28.19
KIN,4.03,4.0981,3.97,,,"157,274",11.93,3.105
KLDO,6.17,6.6601,6.16,,,"124,788",10.356,2.82
KLXE,2.335,2.43,2.15,,,"1,078,088",18.02,0.505
KMT,27.23,27.47,26.53,,,"490,002",38.733,14.4506
KN,15.14,15.31,15.02,,,"578,473",22.79,11.1
KNL,12.74,12.895,12.3,,,"322,193",28.3,7.74
KNSA,20.73,21.88,20.42,,,"573,117",28.67,5.01
KNSL,168.02,171.425,164.0318,,,"122,280",167.09,80.93
KOD,45.1,47.86,44.61,,,"301,094",82.7492,9.47
KOP,21.35,21.61,20.65,,,"167,297",44.75,8.25
KPTI,18.62,19.4,18.34,,,"1,414,201",29.61,7.55
KRA,18.26,18.36,17.83,,,"146,366",35,4.45
KREF,16.79,17.13,16.72,,,"142,794",22.03,6.84
KRG,9.79,10.105,9.65,,,"364,007",19.77,6.87
KRNY,7.67,7.7,7.38,,,"223,779",14.4,7.225
KRO,10.86,11.02,10.75,,,"157,831",15.09,6.805
KRYS,41.22,42.27,40.8559,,,"72,977",66.85,31.89
KTB,17.65,17.98,17.17,,,"392,155",43.235,12.905
